"Institution ID","Institution","Game Date","Uniform Number","Last Name","First Name","Rushing","","","","","Passing","","","","","","Total Off.","","Receiving","","","Pass Int","","","Fumble Ret","","","Punting","","Punt Ret","","","KO Ret","","","Total TD","Off xpts","","","","Def xpts","","","","FG","","Saf","Points"
"","","","","","","Rushes","Gain","Loss","Net","TD","Att","Cmp","Int","Yards","TD","Conv","Plays","Yards","No.","Yards","TD","No.","Yards","TD","No.","Yards","TD","No.","Yards","No.","Yards","TD","No.","Yards","TD","","Kicks Att","Kicks Made","R/P Att","R/P Made","Kicks Att","Kicks Made","Int/Fum Att","Int/Fum Made","Att","Made"
"721","Air Force","09/10/11","16","COLEMAN","DREW","1","1","0","1","0","","","","","","","1","1","1","33","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/24/11","16","COLEMAN","DREW","1","28","0","28","0","","","","","","","1","28","2","29","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/01/11","16","COLEMAN","DREW","1","20","0","20","0","","","","","","","1","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/08/11","16","COLEMAN","DREW","","","","","","","","","","","","0","0","2","50","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","10/13/11","16","COLEMAN","DREW","","","","","","","","","","","","0","0","2","7","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/12/11","16","COLEMAN","DREW","1","21","0","21","0","","","","","","","1","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/10/11","8B","CONANT","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","1","1","0","0","","","","","","","","1"
"721","Air Force","09/24/11","8B","CONANT","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","3","3","0","0","","","","","","","","3"
"721","Air Force","09/03/11","46","COOKS","JAMIL","","","","","","","","","","","","0","0","","","","1","21","0","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/10/11","46","COOKS","JAMIL","","","","","","","","","","","","0","0","","","","","","","1","10","0","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/03/11","6","DAVIS","JON","","","","","","","","","","","","0","0","","","","1","1","0","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/24/11","6","DAVIS","JON","","","","","","","","","","","","0","0","","","","","","","","","","","","2","20","0","","","","","","","","","","","","","","","","0"
"721","Air Force","10/29/11","6","DAVIS","JON","","","","","","","","","","","","0","0","","","","1","22","0","","","","","","1","40","0","","","","","","","","","","","","","","","","0"
"721","Air Force","11/05/11","6","DAVIS","JON","","","","","","","","","","","","0","0","","","","1","20","0","1","11","0","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/19/11","6","DAVIS","JON","","","","","","","","","","","","0","0","","","","","","","","","","","","2","34","0","","","","","","","","","","","","","","","","0"
"721","Air Force","09/03/11","25","DEWITT","MIKE","12","49","0","49","0","","","","","","","12","49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/10/11","25","DEWITT","MIKE","3","48","0","48","0","","","","","","","3","48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/24/11","25","DEWITT","MIKE","9","57","0","57","2","","","","","","","9","57","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","12"
"721","Air Force","10/01/11","25","DEWITT","MIKE","5","26","0","26","0","","","","","","","5","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/08/11","25","DEWITT","MIKE","7","49","0","49","0","","","","","","","7","49","1","9","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/13/11","25","DEWITT","MIKE","2","9","0","9","0","","","","","","","2","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/22/11","25","DEWITT","MIKE","18","108","0","108","0","","","","","","","18","108","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/29/11","25","DEWITT","MIKE","15","64","0","64","4","","","","","","","15","64","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","24"
"721","Air Force","11/05/11","25","DEWITT","MIKE","10","28","0","28","0","","","","","","","10","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/12/11","25","DEWITT","MIKE","15","51","0","51","2","","","","","","","15","51","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","12"
"721","Air Force","11/19/11","25","DEWITT","MIKE","9","34","0","34","1","","","","","","","9","34","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","11/26/11","25","DEWITT","MIKE","5","20","0","20","1","","","","","","","5","20","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","09/10/11","11","DIETZ","CONNOR","9","39","0","39","1","5","2","0","52","0","","14","91","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","09/24/11","11","DIETZ","CONNOR","3","31","0","31","0","2","2","0","19","0","","5","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/08/11","11","DIETZ","CONNOR","2","10","0","10","0","2","2","0","41","1","","4","51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/29/11","11","DIETZ","CONNOR","6","87","0","87","1","1","1","0","17","0","","7","104","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","11/12/11","11","DIETZ","CONNOR","18","94","9","85","0","5","2","1","-1","0","","23","84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/13/11","87","DURDEN","DEVIN","","","","","","","","","","","","0","0","1","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/10/11","81","FREEMAN","JOSHUA","1","0","1","-1","0","","","","","","","1","-1","5","38","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/24/11","81","FREEMAN","JOSHUA","","","","","","","","","","","","0","0","2","20","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","10/08/11","81","FREEMAN","JOSHUA","","","","","","","","","","","","0","0","2","32","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/22/11","81","FREEMAN","JOSHUA","","","","","","","","","","","","0","0","2","34","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/05/11","81","FREEMAN","JOSHUA","","","","","","","","","","","","0","0","2","25","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/24/11","28","GETZ","CODY","4","13","0","13","0","","","","","","","4","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/08/11","28","GETZ","CODY","7","24","0","24","0","","","","","","","7","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/13/11","28","GETZ","CODY","3","8","0","8","0","","","","","","","3","8","1","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/22/11","28","GETZ","CODY","1","0","0","0","0","","","","","","","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/29/11","28","GETZ","CODY","2","9","0","9","0","","","","","","","2","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/12/11","28","GETZ","CODY","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","1","10","0","","","","","","","","","","","","","0"
"721","Air Force","11/19/11","28","GETZ","CODY","4","31","4","27","0","","","","","","","4","27","","","","","","","","","","","","","","","1","18","0","","","","","","","","","","","","","0"
"721","Air Force","11/26/11","28","GETZ","CODY","4","21","0","21","1","","","","","","","4","21","","","","","","","","","","","","","","","2","43","0","1","","","","","","","","","","","","6"
"721","Air Force","10/22/11","14","HALL","JOSH","","","","","","","","","","","","0","0","","","","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/24/11","39","HART","","4","23","0","23","0","","","","","","","4","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/08/11","39","HART","","1","3","0","3","0","","","","","","","1","3","","","","","","","","","","","","","","","","","","","","","1","0","","","","","","","","0"
"721","Air Force","10/29/11","39","HART","","5","26","0","26","0","","","","","","","5","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/26/11","39","HART","","1","3","0","3","0","","","","","","","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/03/11","18","HERRINGTON","PARKER","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","5","4","0","0","","","","","1","1","","7"
"721","Air Force","09/10/11","18","HERRINGTON","PARKER","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","","6"
"721","Air Force","09/24/11","18","HERRINGTON","PARKER","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","6","6","0","0","","","","","1","0","","6"
"721","Air Force","10/01/11","18","HERRINGTON","PARKER","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","5","5","0","0","","","","","","","","5"
"721","Air Force","10/08/11","18","HERRINGTON","PARKER","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","2","1","0","0","","","","","2","2","","7"
"721","Air Force","10/13/11","18","HERRINGTON","PARKER","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","3","3","0","0","","","","","2","2","","9"
"721","Air Force","10/22/11","18","HERRINGTON","PARKER","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","3","2","0","0","","","","","2","2","","8"
"721","Air Force","10/29/11","18","HERRINGTON","PARKER","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","5","5","0","0","","","","","","","","5"
"721","Air Force","11/05/11","18","HERRINGTON","PARKER","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","1","1","0","0","","","","","3","3","","10"
"721","Air Force","11/12/11","18","HERRINGTON","PARKER","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","2","2","0","0","","","","","1","1","","5"
"721","Air Force","11/19/11","18","HERRINGTON","PARKER","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","5","5","0","0","","","","","3","1","","8"
"721","Air Force","11/26/11","18","HERRINGTON","PARKER","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","6","6","0","0","","","","","1","1","","9"
"721","Air Force","09/24/11","80","HIRNEISE","BRANDON","","","","","","","","","","","","0","0","1","13","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/08/11","80","HIRNEISE","BRANDON","","","","","","","","","","","","0","0","2","15","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/13/11","80","HIRNEISE","BRANDON","","","","","","","","","","","","0","0","1","6","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/26/11","80","HIRNEISE","BRANDON","","","","","","","","","","","","0","0","1","7","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/03/11","10","HUNTER","MIKEL","2","82","0","82","1","","","","","","","2","82","1","55","1","","","","","","","","","1","16","0","","","","2","","","","","","","","","","","","12"
"721","Air Force","09/10/11","10","HUNTER","MIKEL","1","0","4","-4","0","","","","","","","1","-4","1","18","0","","","","","","","","","1","14","0","","","","","","","","","","","","","","","","0"
"721","Air Force","09/24/11","10","HUNTER","MIKEL","1","4","0","4","0","","","","","","","1","4","2","46","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","10/01/11","10","HUNTER","MIKEL","","","","","","","","","","","","0","0","2","37","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/08/11","10","HUNTER","MIKEL","1","0","3","-3","0","","","","","","","1","-3","1","6","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/13/11","10","HUNTER","MIKEL","4","67","5","62","0","","","","","","","4","62","3","23","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/22/11","10","HUNTER","MIKEL","2","7","15","-8","0","","","","","","","2","-8","1","5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/29/11","10","HUNTER","MIKEL","","","","","","","","","","","","0","0","","","","","","","","","","","","1","10","0","","","","","","","","","","","","","","","","0"
"721","Air Force","11/12/11","10","HUNTER","MIKEL","","","","","","","","","","","","0","0","","","","","","","","","","","","1","4","0","","","","","","","","","","","","","","","","0"
"721","Air Force","11/19/11","10","HUNTER","MIKEL","","","","","","","","","","","","0","0","1","13","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/26/11","10","HUNTER","MIKEL","1","17","0","17","0","","","","","","","1","17","1","23","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/03/11","7","JEFFERSON","TIM","15","81","12","69","2","9","4","2","96","1","","24","165","","","","","","","","","","1","28","","","","","","","2","","","","","","","","","","","","12"
"721","Air Force","09/10/11","7","JEFFERSON","TIM","13","43","3","40","0","15","9","0","83","0","","28","123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/24/11","7","JEFFERSON","TIM","3","44","3","41","0","13","11","0","178","3","","16","219","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/01/11","7","JEFFERSON","TIM","18","66","6","60","2","10","9","0","136","1","","28","196","","","","","","","","","","1","42","","","","","","","2","","","","","","","","","","","","12"
"721","Air Force","10/08/11","7","JEFFERSON","TIM","10","27","5","22","1","24","12","1","137","1","","34","159","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","10/13/11","7","JEFFERSON","TIM","15","53","26","27","0","36","22","2","224","2","","51","251","","","","","","","","","","1","49","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/22/11","7","JEFFERSON","TIM","20","46","30","16","2","16","8","1","144","0","","36","160","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","12"
"721","Air Force","10/29/11","7","JEFFERSON","TIM","5","23","0","23","0","2","1","0","9","0","","7","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/05/11","7","JEFFERSON","TIM","20","72","6","66","2","12","6","0","122","0","","32","188","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","12"
"721","Air Force","11/12/11","7","JEFFERSON","TIM","4","9","0","9","0","","","","","","","4","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/19/11","7","JEFFERSON","TIM","12","89","8","81","1","12","7","0","128","1","","24","209","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","11/26/11","7","JEFFERSON","TIM","4","39","1","38","0","12","9","0","221","3","","16","259","","","","","","","","","","1","43","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/10/11","21","JONES","DARIUS","3","24","0","24","0","","","","","","","3","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/24/11","21","JONES","DARIUS","6","63","0","63","1","","","","","","","6","63","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","10/08/11","21","JONES","DARIUS","5","50","0","50","0","","","","","","","5","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/03/11","85","KAUTH","ZACK","","","","","","","","","","","","0","0","2","19","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/10/11","85","KAUTH","ZACK","","","","","","","","","","","","0","0","2","41","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","09/24/11","85","KAUTH","ZACK","","","","","","","","","","","","0","0","4","31","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/01/11","85","KAUTH","ZACK","","","","","","","","","","","","0","0","2","31","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/08/11","85","KAUTH","ZACK","","","","","","","","","","","","0","0","1","13","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
